step,MSE,val MSE
1,1.5425133557319641,1.5203109288215637
2,1.5214586386680602,1.502118579864502
3,1.5063111886978149,1.48727334690094
4,1.4919978585243225,1.4755391712188721
5,1.4795447921752929,1.4686596879959106
6,1.473843108177185,1.464379946708679
7,1.466646568775177,1.4614910559654235
8,1.4623204193115233,1.4601293563842774
9,1.4578747682571411,1.459240704059601
10,1.4539760732650757,1.4580713782310486
11,1.4514207887649535,1.4574638814926149
12,1.4486130385398865,1.4569995141029357
13,1.4457370867729187,1.456658895969391
14,1.4426914677619933,1.4563987407684327
15,1.441189205646515,1.4575343770980835
16,1.4366101007461547,1.4564671721458435
17,1.435736267566681,1.456879394054413
18,1.434595431804657,1.4572262687683106
19,1.4324375677108765,1.4570056648254395
20,1.430681652545929,1.4562308034896851
21,1.4297946419715881,1.4564998216629028
22,1.4264314870834351,1.4566146273612977
23,1.425898413658142,1.4570271306037903
24,1.4243431196212768,1.456603151321411
25,1.423167067527771,1.4564302010536194
26,1.424293121814728,1.455934458732605
27,1.4202618103027345,1.4577782373428345
28,1.4204695262908935,1.45762677526474
29,1.418927547454834,1.4568566389083861
30,1.4181452355384827,1.4573334941864013
31,1.4149924325942993,1.4572143507003785
32,1.414574869632721,1.4568054661750793
33,1.4145468063354492,1.456318612575531
34,1.411345350265503,1.4575767540931701
35,1.4111700229644775,1.456799394607544
36,1.4113037657737733,1.4568841710090636
37,1.4111172046661378,1.4580477828979492
38,1.4096618404388428,1.456667700767517
39,1.4068433771133422,1.4579670906066895
40,1.405981168270111,1.4576834497451783
41,1.4061839060783385,1.4574982633590698
42,1.4038608751296997,1.457937400341034
43,1.4041508741378783,1.4587523083686829
44,1.4044487099647522,1.459583637714386
45,1.4001169700622558,1.4590347514152526
46,1.4031202034950256,1.45812566614151
47,1.4011512537002564,1.4579896955490113
48,1.400152451992035,1.458094377040863
49,1.3991974215507508,1.4581102042198182
50,1.3986222434043885,1.4589649739265442
