step,MSE,val MSE
1,3.2116231257915495,1.2008759999275207
2,1.116759459257126,1.0679356093406678
3,1.0071758012771606,0.9899749507904053
4,0.9361292369365692,0.9447176582813263
5,0.8947612431049347,0.9202197899818421
6,0.8723252482414245,0.9056803922653198
7,0.8588949990272522,0.8967729961872101
8,0.8498343689441681,0.8948232171535492
9,0.8447217979431152,0.8897654399871826
10,0.8400627112388611,0.8903767366409302
11,0.8369745199680328,0.8875961852073669
12,0.8345397491455078,0.8873373399972916
13,0.832395530462265,0.8834050195217132
14,0.8299963946342468,0.8851520640850067
15,0.828284176826477,0.884569582939148
16,0.8264112386703492,0.8842459588050843
17,0.8248052034378052,0.8839350209236145
18,0.8224342966079712,0.8820545823574066
19,0.8205858016014099,0.8810419951677322
20,0.8182493710517883,0.8816519449949265
21,0.8163453841209412,0.8806727509498596
22,0.8136560380458832,0.8776772779226303
23,0.8118229086399078,0.8789860165119171
24,0.8096012909412384,0.8782023204565048
25,0.8065080301761627,0.8760638289451599
26,0.8034874472618103,0.8743781487941742
27,0.8000674483776092,0.8768937689065933
28,0.7977395560741425,0.8753324409723282
29,0.7939428577423095,0.8735473079681396
30,0.7902893314361572,0.8733816813230515
31,0.7860515031814576,0.8762293328046799
32,0.7827057542800904,0.8735491156578064
33,0.7779132106304169,0.8748931357860565
34,0.7731157884597778,0.8730344282388687
35,0.7685387141704559,0.8751292955875397
36,0.7627592706680297,0.8748479007482529
37,0.7572598798274994,0.8762406392097473
38,0.7501760617494583,0.8783864393234253
39,0.7443953483104706,0.8765816802978516
40,0.7369119520187378,0.8819036215543747
41,0.7288958337306977,0.8869126197099686
42,0.720373316526413,0.8834407889842987
43,0.7114021410942077,0.886302160859108
44,0.701839340209961,0.8887026823759079
45,0.691629310131073,0.8940482738018036
46,0.6814352872371674,0.8978199174404145
47,0.6709083124399186,0.9029809195995331
48,0.6586510627269745,0.9066062912940979
49,0.6477011340856552,0.9127317363023758
50,0.6347583723068237,0.9197206611633301
