step,MaskedMSELoss,val MaskedMSELoss
1,0.11389666795730591,0.06660111248493195
2,0.11042580008506775,0.06599841266870499
3,0.10897690057754517,0.06558956950902939
4,0.1070026084780693,0.06536521017551422
5,0.1059703454375267,0.06532000750303268
6,0.09998398274183273,0.0654459148645401
7,0.10092601925134659,0.06573080271482468
8,0.09643987566232681,0.06615663319826126
9,0.0969993993639946,0.06670919060707092
10,0.09522591531276703,0.06735779345035553
11,0.0950731486082077,0.06806948035955429
12,0.09332243353128433,0.0688123106956482
13,0.09424903988838196,0.06951332092285156
14,0.09577572345733643,0.07017211616039276
15,0.09235057979822159,0.07072921842336655
16,0.09511756896972656,0.07119522243738174
17,0.09254958480596542,0.07157488912343979
18,0.09513388574123383,0.07185298949480057
19,0.09420253336429596,0.07201972603797913
20,0.0948437824845314,0.0720905214548111
21,0.0914243757724762,0.07204010337591171
22,0.09443002194166183,0.07188872247934341
23,0.0912412777543068,0.0716661885380745
24,0.09291571378707886,0.07140019536018372
25,0.09323075413703918,0.07110663503408432
26,0.09248863905668259,0.07078652828931808
27,0.09279902279376984,0.07045897096395493
28,0.0938737615942955,0.0701383426785469
29,0.09261266142129898,0.06980478018522263
30,0.08948749303817749,0.0695151761174202
31,0.0916043296456337,0.06930851191282272
32,0.0922064408659935,0.06917489320039749
33,0.09260700643062592,0.06908632069826126
34,0.09145870804786682,0.06901925057172775
35,0.0923929214477539,0.06902242451906204
36,0.09201954305171967,0.06901278346776962
37,0.09163730591535568,0.06900186836719513
38,0.08985547721385956,0.06903162598609924
39,0.09220148622989655,0.06910082697868347
40,0.09345127642154694,0.06919016689062119
41,0.09169130772352219,0.06925389915704727
42,0.09247597306966782,0.06932127475738525
43,0.09043428301811218,0.06939148157835007
44,0.0900268480181694,0.06946347653865814
45,0.09213217347860336,0.06956519931554794
46,0.09247857332229614,0.06970991939306259
47,0.09145702421665192,0.06983105093240738
48,0.09088168293237686,0.06994990259408951
49,0.09098073840141296,0.07004453241825104
50,0.09098155051469803,0.07010135054588318
